country,top100,code,population,totalaid,totalaid_percap
Afghanistan,true,AFG,34385000,2.3599759451261005E10,686.3387945691727
Algeria,true,DZA,35468000,1.2841351219607224E10,362.0545624113912
Angola,true,AGO,19082000,5.409345591602805E9,283.4789640290748
Argentina,true,ARG,40412000,3.825685928406485E10,946.6707731382968
Bangladesh,true,BGD,148692000,3.499567769479532E10,235.35682951870524
Belize,true,BLZ,345000,8.255898317405002E8,2393.014005044928
Benin,true,BEN,8850000,5.662834248717752E9,639.8682766912715
Bolivia,true,BOL,9929000,1.3066007448316565E10,1315.9439468543221
Botswana,true,BWA,2007000,5.128481123821946E9,2555.2970223328084
Brazil,true,BRA,194946000,5.654387520430296E10,290.0489120284744
Burkina Faso,true,BFA,16468000,9.594681958238585E9,582.6258172357653
Burundi,true,BDI,8382000,4.194580530125239E9,500.4271689483702
Cameroon,true,CMR,19599000,8.900462102368038E9,454.12837911975294
Cape Verde,true,CPV,496000,1.9851027979778402E9,4002.2233830198393
Central African Rep.,true,CAF,4401000,2.348900091489679E9,533.7196299681161
Chad,true,TCD,11227000,4.628120872508102E9,412.2313060041064
Chile,true,CHL,17113688,6.590923636326174E9,385.12584992353334
China,true,CHN,1338300000,6.19955277494499E10,46.32408858211903
Colombia,true,COL,46295000,3.5797270423991196E10,773.2426919535845
"Congo, Dem. Rep.",true,COD,65965000,1.149513438746248E10,174.26111403717852
"Congo, Rep.",true,COG,4043000,1.872231088125919E9,463.0796656260003
Costa Rica,true,CRI,4659000,4.694571966168428E9,1007.6351075699567
Cote D'Ivoire,true,CIV,19738000,1.151079143049461E10,583.1792192975281
Djibouti,true,DJI,889000,1.5412747005811996E9,1733.7173234884135
Dominica,true,DMA,68000,4.1342409027020013E8,6079.766033385296
Dominican Republic,true,DOM,9927000,7.632934419981537E9,768.9064591499483
Ecuador,true,ECU,14465000,1.3947386442538424E10,964.2161384402643
Egypt,true,EGY,81121000,3.134749919596071E10,386.4289049193268
